Transmission,Year,Kms_Driven,Seller_Type,Present_Price,Owner,Selling_Price,Fuel_Type,source_dataset,Car_Age,Average_KM_Per_Year,Vehicle_Age_Group,First_Owner_Flag
Manual,2014,27000,Dealer,5.59,0,3.35,Petrol,car_prediction_data,12,2250.0,8-12 yrs,1
Manual,2013,43000,Dealer,9.54,0,4.75,Diesel,car_prediction_data,13,3307.6923076923076,12+ yrs,1
Manual,2017,6900,Dealer,9.85,0,7.25,Petrol,car_prediction_data,9,766.6666666666666,8-12 yrs,1
Manual,2011,5200,Dealer,4.15,0,2.85,Petrol,car_prediction_data,15,346.6666666666667,12+ yrs,1
Manual,2014,42450,Dealer,6.87,0,4.6,Diesel,car_prediction_data,12,3537.5,8-12 yrs,1
Manual,2018,2071,Dealer,9.83,0,9.25,Diesel,car_prediction_data,8,258.875,8-12 yrs,1
Manual,2015,18796,Dealer,8.12,0,6.75,Petrol,car_prediction_data,11,1708.7272727272727,8-12 yrs,1
Manual,2015,33429,Dealer,8.61,0,6.5,Diesel,car_prediction_data,11,3039.0,8-12 yrs,1
Manual,2016,20273,Dealer,8.89,0,8.75,Diesel,car_prediction_data,10,2027.3,8-12 yrs,1
Manual,2015,42367,Dealer,8.92,0,7.45,Diesel,car_prediction_data,11,3851.5454545454545,8-12 yrs,1
Manual,2017,2135,Dealer,3.6,0,2.85,Petrol,car_prediction_data,9,237.22222222222223,8-12 yrs,1
Manual,2015,51000,Dealer,10.38,0,6.85,Diesel,car_prediction_data,11,4636.363636363636,8-12 yrs,1
Automatic,2015,15000,Dealer,9.94,0,7.5,Petrol,car_prediction_data,11,1363.6363636363637,8-12 yrs,1
Manual,2015,26000,Dealer,7.71,0,6.1,Petrol,car_prediction_data,11,2363.6363636363635,8-12 yrs,1
Manual,2009,77427,Dealer,7.21,0,2.25,Petrol,car_prediction_data,17,4554.529411764706,12+ yrs,1
Manual,2016,43000,Dealer,10.79,0,7.75,Diesel,car_prediction_data,10,4300.0,8-12 yrs,1
Manual,2015,41678,Dealer,10.79,0,7.25,Diesel,car_prediction_data,11,3788.909090909091,8-12 yrs,1
Manual,2015,35500,Dealer,5.09,0,3.25,CNG,car_prediction_data,11,3227.2727272727275,8-12 yrs,1
Manual,2010,41442,Dealer,7.98,0,2.65,Petrol,car_prediction_data,16,2590.125,12+ yrs,1
Manual,2016,25000,Dealer,3.95,0,2.85,Petrol,car_prediction_data,10,2500.0,8-12 yrs,1
Manual,2017,2400,Dealer,5.71,0,4.9,Petrol,car_prediction_data,9,266.6666666666667,8-12 yrs,1
Automatic,2011,50000,Dealer,8.01,0,4.4,Petrol,car_prediction_data,15,3333.3333333333335,12+ yrs,1
Manual,2014,45280,Dealer,3.46,0,2.5,Petrol,car_prediction_data,12,3773.3333333333335,8-12 yrs,1
Manual,2013,56879,Dealer,4.41,0,2.9,Petrol,car_prediction_data,13,4375.307692307692,12+ yrs,1
Manual,2011,20000,Dealer,4.99,0,3.0,Petrol,car_prediction_data,15,1333.3333333333333,12+ yrs,1
Manual,2013,55138,Dealer,5.87,0,4.15,Petrol,car_prediction_data,13,4241.384615384615,12+ yrs,1
Manual,2017,16200,Individual,6.49,0,6.0,Petrol,car_prediction_data,9,1800.0,8-12 yrs,1
Manual,2010,44542,Dealer,3.95,0,1.95,Petrol,car_prediction_data,16,2783.875,12+ yrs,1
Manual,2015,45000,Dealer,10.38,0,7.45,Diesel,car_prediction_data,11,4090.909090909091,8-12 yrs,1
Manual,2012,51439,Dealer,5.98,0,3.1,Diesel,car_prediction_data,14,3674.214285714286,12+ yrs,1
Manual,2011,54200,Dealer,4.89,0,2.35,Petrol,car_prediction_data,15,3613.3333333333335,12+ yrs,1
Manual,2014,39000,Dealer,7.49,0,4.95,Diesel,car_prediction_data,12,3250.0,8-12 yrs,1
Manual,2014,45000,Dealer,9.95,0,6.0,Diesel,car_prediction_data,12,3750.0,8-12 yrs,1
Manual,2014,45000,Dealer,8.06,0,5.5,Diesel,car_prediction_data,12,3750.0,8-12 yrs,1
Manual,2011,49998,Dealer,7.74,0,2.95,CNG,car_prediction_data,15,3333.2,12+ yrs,1
Manual,2015,48767,Dealer,7.2,0,4.65,Petrol,car_prediction_data,11,4433.363636363636,8-12 yrs,1
Manual,2003,127000,Individual,2.28,0,0.35,Petrol,car_prediction_data,23,5521.739130434783,12+ yrs,1
Manual,2016,10079,Dealer,3.76,0,3.0,Petrol,car_prediction_data,10,1007.9,8-12 yrs,1
Manual,2003,62000,Dealer,7.98,0,2.25,Petrol,car_prediction_data,23,2695.6521739130435,12+ yrs,1
Automatic,2016,24524,Dealer,7.87,0,5.85,Petrol,car_prediction_data,10,2452.4,8-12 yrs,1
Manual,2014,46706,Dealer,3.98,0,2.55,Petrol,car_prediction_data,12,3892.1666666666665,8-12 yrs,1
Manual,2008,58000,Dealer,7.15,0,1.95,Petrol,car_prediction_data,18,3222.222222222222,12+ yrs,1
Manual,2014,45780,Dealer,8.06,0,5.5,Diesel,car_prediction_data,12,3815.0,8-12 yrs,1
Manual,2012,50000,Dealer,2.69,0,1.25,Petrol,car_prediction_data,14,3571.4285714285716,12+ yrs,1
Automatic,2014,15000,Dealer,12.04,0,7.5,Petrol,car_prediction_data,12,1250.0,8-12 yrs,1
Manual,2013,64532,Dealer,4.89,0,2.65,Petrol,car_prediction_data,13,4964.0,12+ yrs,1
Manual,2006,65000,Dealer,4.15,0,1.05,Petrol,car_prediction_data,20,3250.0,12+ yrs,1
Manual,2015,25870,Dealer,7.71,0,5.8,Petrol,car_prediction_data,11,2351.818181818182,8-12 yrs,1
Automatic,2017,37000,Dealer,9.29,0,7.75,Petrol,car_prediction_data,9,4111.111111111111,8-12 yrs,1
Automatic,2012,104707,Dealer,30.61,0,14.9,Diesel,car_prediction_data,14,7479.071428571428,12+ yrs,1
Automatic,2015,40000,Dealer,30.61,0,23.0,Diesel,car_prediction_data,11,3636.3636363636365,8-12 yrs,1
Automatic,2017,15000,Dealer,19.77,0,18.0,Diesel,car_prediction_data,9,1666.6666666666667,8-12 yrs,1
Automatic,2013,135000,Individual,30.61,0,16.0,Diesel,car_prediction_data,13,10384.615384615385,12+ yrs,1
Manual,2005,90000,Individual,10.21,0,2.75,Petrol,car_prediction_data,21,4285.714285714285,12+ yrs,1
Automatic,2009,70000,Dealer,15.04,0,3.6,Petrol,car_prediction_data,17,4117.64705882353,12+ yrs,1
Manual,2015,40534,Dealer,7.27,0,4.5,Petrol,car_prediction_data,11,3684.909090909091,8-12 yrs,1
Manual,2010,50000,Dealer,18.54,0,4.75,Petrol,car_prediction_data,16,3125.0,12+ yrs,1
Manual,2014,39485,Dealer,6.8,1,4.1,Petrol,car_prediction_data,12,3290.4166666666665,8-12 yrs,0
Automatic,2014,41000,Dealer,35.96,0,19.99,Diesel,car_prediction_data,12,3416.6666666666665,8-12 yrs,1
Manual,2013,40001,Dealer,18.61,0,6.95,Petrol,car_prediction_data,13,3077.0,12+ yrs,1
Manual,2015,40588,Dealer,7.7,0,4.5,Petrol,car_prediction_data,11,3689.818181818182,8-12 yrs,1
Automatic,2014,78000,Dealer,35.96,0,18.75,Diesel,car_prediction_data,12,6500.0,8-12 yrs,1
Automatic,2015,47000,Dealer,35.96,0,23.5,Diesel,car_prediction_data,11,4272.727272727273,8-12 yrs,1
Automatic,2017,6000,Dealer,36.23,0,33.0,Diesel,car_prediction_data,9,666.6666666666666,8-12 yrs,1
Manual,2014,45000,Dealer,6.95,0,4.75,Diesel,car_prediction_data,12,3750.0,8-12 yrs,1
Automatic,2017,11000,Dealer,23.15,0,19.75,Petrol,car_prediction_data,9,1222.2222222222222,8-12 yrs,1
Manual,2010,59000,Dealer,20.45,0,9.25,Diesel,car_prediction_data,16,3687.5,12+ yrs,1
Manual,2011,88000,Dealer,13.74,0,4.35,Petrol,car_prediction_data,15,5866.666666666667,12+ yrs,1
Manual,2016,12000,Dealer,20.91,0,14.25,Petrol,car_prediction_data,10,1200.0,8-12 yrs,1
Manual,2014,71000,Dealer,6.76,0,3.95,Diesel,car_prediction_data,12,5916.666666666667,8-12 yrs,1
Manual,2011,45000,Dealer,12.48,0,4.5,Diesel,car_prediction_data,15,3000.0,12+ yrs,1
Manual,2013,56001,Dealer,18.61,0,7.45,Petrol,car_prediction_data,13,4307.7692307692305,12+ yrs,1
Manual,2011,43000,Dealer,5.71,0,2.65,Petrol,car_prediction_data,15,2866.6666666666665,12+ yrs,1
Manual,2014,83000,Dealer,8.93,0,4.9,Diesel,car_prediction_data,12,6916.666666666667,8-12 yrs,1
Manual,2015,36000,Dealer,6.8,0,3.95,Petrol,car_prediction_data,11,3272.7272727272725,8-12 yrs,1
Manual,2013,72000,Dealer,14.68,0,5.5,Petrol,car_prediction_data,13,5538.461538461538,12+ yrs,1
Automatic,2004,135154,Dealer,12.35,0,1.5,Petrol,car_prediction_data,22,6143.363636363636,12+ yrs,1
Automatic,2010,80000,Dealer,22.83,0,5.25,Petrol,car_prediction_data,16,5000.0,12+ yrs,1
Automatic,2012,89000,Dealer,30.61,0,14.5,Diesel,car_prediction_data,14,6357.142857142857,12+ yrs,1
Manual,2016,23000,Dealer,14.89,0,14.73,Diesel,car_prediction_data,10,2300.0,8-12 yrs,1
Manual,2015,40000,Dealer,7.85,0,4.75,Diesel,car_prediction_data,11,3636.3636363636365,8-12 yrs,1
Automatic,2017,15000,Dealer,25.39,0,23.0,Diesel,car_prediction_data,9,1666.6666666666667,8-12 yrs,1
Manual,2015,38000,Dealer,13.46,0,12.5,Diesel,car_prediction_data,11,3454.5454545454545,8-12 yrs,1
Manual,2005,197176,Dealer,13.46,0,3.49,Diesel,car_prediction_data,21,9389.333333333334,12+ yrs,1
Automatic,2006,142000,Individual,23.73,3,2.5,Petrol,car_prediction_data,20,7100.0,12+ yrs,0
Manual,2010,78000,Dealer,92.6,0,35.0,Diesel,car_prediction_data,16,4875.0,12+ yrs,1
Manual,2012,56000,Dealer,13.74,0,5.9,Petrol,car_prediction_data,14,4000.0,12+ yrs,1
Manual,2013,47000,Dealer,6.05,0,3.45,Petrol,car_prediction_data,13,3615.3846153846152,12+ yrs,1
Manual,2014,40000,Dealer,6.76,0,4.75,Petrol,car_prediction_data,12,3333.3333333333335,8-12 yrs,1
Manual,2009,62000,Dealer,18.61,0,3.8,Petrol,car_prediction_data,17,3647.0588235294117,12+ yrs,1
Manual,2014,58242,Dealer,16.09,0,11.25,Diesel,car_prediction_data,12,4853.5,8-12 yrs,1
Manual,2005,75000,Dealer,13.7,0,3.51,Petrol,car_prediction_data,21,3571.4285714285716,12+ yrs,1
Automatic,2008,89000,Dealer,22.78,0,4.0,Petrol,car_prediction_data,18,4944.444444444444,12+ yrs,1
Manual,2012,72000,Dealer,18.61,0,5.85,Petrol,car_prediction_data,14,5142.857142857143,12+ yrs,1
Automatic,2016,29000,Dealer,25.39,0,20.75,Diesel,car_prediction_data,10,2900.0,8-12 yrs,1
Manual,2017,8700,Dealer,18.64,0,17.0,Petrol,car_prediction_data,9,966.6666666666666,8-12 yrs,1
